Typ,Datum,Kommando
"Övrigt","2025-10-24 12:14:13","read -p "Syfte/beskrivning: " purpose"
"Övrigt","2025-10-24 12:14:13","timestamp=$(date "+%Y-%m-%d %H:%M:%S")"
"Övrigt","2025-10-24 12:14:13","user=$(whoami)"
"Övrigt","2025-10-24 12:14:13","host=$(hostname)"
"Övrigt","2025-10-24 12:14:13","if [ -z "$filename" ]; then   filename="untitled.txt"; fi"
"Övrigt","2025-10-24 12:14:13","case "$filename" in   *.txt)   doc_type="Text";     template="template_txt.txt";;   *.md)    doc_type="Markdown"; template="template_md.txt";;   *.html)  doc_type="HTML";     template="template_html.txt";;   *.cpp)   doc_type="C++";      template="template_cpp.txt";;   *.py)    doc_type="Python";   template="template_py.txt";;   *.sh)    doc_type="Shell";    template="template_sh.txt";;   *)       doc_type="Okänd";    template="template_txt.txt";; esac"
"Övrigt","2025-10-24 12:14:13","template_path="$HOME/doc_templates/$template""
"Övrigt","2025-10-24 12:14:13","if [ -f "$template_path" ]; then   content=$(cat "$template_path");   content="${content//\[FILNAMN\]/$filename}";   content="${content//\[DATUM\]/$timestamp}";   content="${content//\[USER\]/$user}";   content="${content//\[PROJEKT\]/$project}";   content="${content//\[VERSION\]/$version}";   content="${content//\[SYFTE\]/$purpose}"; else   content="⚠ Mallfil saknas: $template_path"; fi"
"Övrigt","2025-10-24 12:14:13","echo "$content" > "$filename""
"Övrigt","2025-10-24 12:14:13","echo -e "\e[32m✔ Fil skapad med mallinnehåll: $filename\e[0m""
"Text & Sökning","2025-10-24 12:14:13","cat <<EOF >> ~/doc_log.md"
"Övrigt","2025-10-24 12:14:13","- 📄 Fil: $filename"
"Övrigt","2025-10-24 12:14:13","- 📦 Projekt: $project"
"Övrigt","2025-10-24 12:14:13","- 🔖 Version: $version"
"Övrigt","2025-10-24 12:14:13","- 👤 Användare: $user@$host"
"Övrigt","2025-10-24 12:14:13","- 🎯 Syfte: $purpose"
"Övrigt","2025-10-24 12:14:13","---"
"Övrigt","2025-10-24 12:14:13","EOF"
"Text & Sökning","2025-10-24 12:14:13","cat <<EOF >> ~/doc_log.html"
"Övrigt","2025-10-24 12:14:13","  <li><strong>Fil:</strong> $filename</li>"
"Övrigt","2025-10-24 12:14:13","  <li><strong>Projekt:</strong> $project</li>"
"Övrigt","2025-10-24 12:14:13","  <li><strong>Version:</strong> $version</li>"
"Övrigt","2025-10-24 12:14:13","  <li><strong>Användare:</strong> $user@$host</li>"
"Övrigt","2025-10-24 12:14:13","  <li><strong>Syfte:</strong> $purpose</li>"
"Övrigt","2025-10-24 12:14:13","EOF"
"Övrigt","2025-10-24 12:14:13","echo -e "\e[33m⚠ Metadata loggad i ~/doc_log.md och ~/doc_log.html\e[0m""
"Övrigt","2025-10-24 12:14:13","read -p "Vill du öppna filen nu i terminalen? (j/n): " open_now"
"Övrigt","2025-10-24 12:14:13","if [[ "$open_now" == "j" ]]; then   nano "$filename""
"Övrigt","2025-10-24 12:14:13","rm "nano ~/scripts/create_doc.sh""
"Filsystem","2025-10-24 12:14:13","ls -l"
"Skript","2025-10-24 12:14:13","~/scripts/create_doc.sh"
"Text & Sökning","2025-10-24 12:14:13","cat rapport.md"
"Övrigt","2025-10-24 12:14:13","1"
"Övrigt","2025-10-24 12:14:13","nano ~/doc_templates/template_md.txt"
"Skript","2025-10-24 12:14:13","~/scripts/create_doc.sh"
"Filsystem","2025-10-24 12:14:13","ls -l"
"Text & Sökning","2025-10-24 12:14:13","cat rapport.md"
"Övrigt","2025-10-24 12:14:13","exit"
"Filsystem","2025-10-24 12:14:13","ls -l /home/kate/doc_templates/"
"Filsystem","2025-10-24 12:14:13","pwd"
"Övrigt","2025-10-24 12:14:13","echo "Söker mallfil i: $MALLFIL""
"Övrigt","2025-10-24 12:14:13","exit"
"Övrigt","2025-10-24 12:14:13","whoami"
"Övrigt","2025-10-24 12:14:13","date"
"Filsystem","2025-10-24 12:14:13","ls -l /etc"
"Text & Sökning","2025-10-24 12:14:13","grep "root" /etc/passwd"
"Filsystem","2025-10-24 12:14:13","pwd"
"Filsystem","2025-10-24 12:14:13","cd"
"Filsystem","2025-10-24 12:14:13","cd /"
"Filsystem","2025-10-24 12:14:13","pwd"
"Filsystem","2025-10-24 12:14:13","cd home"
"Filsystem","2025-10-24 12:14:13","pwd"
"Filsystem","2025-10-24 12:14:13","cd ~"
"Filsystem","2025-10-24 12:14:13","pwd"
"Övrigt","2025-10-24 12:14:13","mkdir dir1 dir2 dir3"
"Filsystem","2025-10-24 12:14:13","ls"
"Övrigt","2025-10-24 12:14:13","rmdir dir3"
"Filsystem","2025-10-24 12:14:13","ls"
"Filsystem","2025-10-24 12:14:13","ls -l"
"Övrigt","2025-10-24 12:14:13","touch testfile"
"Filsystem","2025-10-24 12:14:13","ls -l testfile"
"System","2025-10-24 12:14:13","sudo chown annanuser testfile"
"System","2025-10-24 12:14:13","sudo chown root testfile"
"Filsystem","2025-10-24 12:14:13","ls -l testfile"
"Övrigt","2025-10-24 12:14:13","touch file1"
"Övrigt","2025-10-24 12:14:13","cp file1 file2"
"Övrigt","2025-10-24 12:14:13","mv file2 renamed_file"
"Övrigt","2025-10-24 12:14:13","rm file1"
"Filsystem","2025-10-24 12:14:13","ls"
"Övrigt","2025-10-24 12:14:13","cp file1 file2"
"Övrigt","2025-10-24 12:14:13","mv file2"
"System","2025-10-24 12:14:13","sudo chown root testfile"
"Filsystem","2025-10-24 12:14:13","ls -l testfile"
"Övrigt","2025-10-24 12:14:13","rm file1"
"Text & Sökning","2025-10-24 12:14:13","cat /etc/passwd"
"Text & Sökning","2025-10-24 12:14:13","head /etc/passwd"
"Text & Sökning","2025-10-24 12:14:13","tail /etc/passwd"
"Text & Sökning","2025-10-24 12:14:13","grep "bash" /etc/passwd"
"System","2025-10-24 12:14:13","sudo apt update"
"Övrigt","2025-10-24 12:14:13","su - annanuser"
"Övrigt","2025-10-24 12:14:13","shutdown -h now"
"Nätverk","2025-10-24 12:14:13","ip a"
"Nätverk","2025-10-24 12:14:13","ping -c 4 google.com"
"System","2025-10-24 12:14:13","sudo tcpdump -i any port 80 -w http_log.pc"
"Filsystem","2025-10-24 12:14:13","ls -lh http_log.pcap"
"System","2025-10-24 12:14:13","sudo tcpdump -i any port 443 -w https_log.pcap"
"Filsystem","2025-10-24 12:14:13","ls -lh https_log.pcap"
"Övrigt","2025-10-24 12:14:13","scp linux_assignment_submission.zip username@vm-ip-address:~"
"Filsystem","2025-10-24 12:14:13","cd /mnt/hgfs/shared"
"Filsystem","2025-10-24 12:14:13","cd /media/shared"
"Övrigt","2025-10-24 12:14:13","vmware-toolbox-cmd -v"
"System","2025-10-24 12:14:13","sudo apt update"
"System","2025-10-24 12:14:13","sudo apt install open-vm-tools open-vm-tools-desktop -y"
"System","2025-10-24 12:14:13","sudo reboot"
"Filsystem","2025-10-24 12:14:13","pwd"
"Skript","2025-10-24 12:14:13","generate_metadata.sh"
"Filsystem","2025-10-24 12:14:13","ls"
"Filsystem","2025-10-24 12:14:13","find . -type f -name "*.sh""
"Övrigt","2025-10-24 12:14:13","mkdir -p ~/doc_templates/reports"
"Övrigt","2025-10-24 12:14:13","nano ~/doc_templates/reports/status_report.md"
"Filsystem","2025-10-24 12:14:13","cd ~/doc_templates/reports"
"Övrigt","2025-10-24 12:14:13","pandoc status_report.md -o status_report.pdf"
"Övrigt","2025-10-24 12:14:13","pandoc status_report.md -o status_report.html"
"Övrigt","2025-10-24 12:14:13","cp status_report.md ~/doc_templates/exports/status_report_$(date +%Y%m%d_%H%M%S).md"
"Övrigt","2025-10-24 12:14:13","xdg-open status_report.pdf &"
"Övrigt","2025-10-24 12:14:13","nano ~/doc_templates/reports/status_report.md"
"Övrigt","2025-10-24 12:14:13","pandoc status_report.md -o status_report.pdf"
"Övrigt","2025-10-24 12:14:13","sed -i 's/[📊📈📉📝✅⚠️❌]//g' status_report.md"
"Övrigt","2025-10-24 12:14:13","pandoc status_report.md -o status_report.pdf"
"Filsystem","2025-10-24 12:14:13","ls -lh status_report.pdf"
"Övrigt","2025-10-24 12:14:13","xdg-open status_report.pdf &"
"Övrigt","2025-10-24 12:14:13","timestamp=$(date +%Y%m%d_%H%M%S)"
"Övrigt","2025-10-24 12:14:13","cp status_report.pdf ~/doc_templates/exports/status_report_$timestamp.pdf"
"Filsystem","2025-10-24 12:14:13","ls -lh export.sh"
"Skript","2025-10-24 12:14:13","chmod +x export.sh"
"Skript","2025-10-24 12:14:13","./docs-engine/export.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine"
"Skript","2025-10-24 12:14:13","./docs-engine/export.sh"
"Filsystem","2025-10-24 12:14:13","ls -lh export.sh"
"Skript","2025-10-24 12:14:13","./export.sh"
"Skript","2025-10-24 12:14:13","export.sh"
"Skript","2025-10-24 12:14:13","./export.sh"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/kate-template.latex"
"Filsystem","2025-10-24 12:14:13","cd"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/kate-template.latex"
"Filsystem","2025-10-24 12:14:13","ls"
"Skript","2025-10-24 12:14:13","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 12:14:13","mkdir -p "$HOME/screenshots""
"Skript","2025-10-24 12:14:13","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/kate-template.latex"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/kate-template.latex"
"Skript","2025-10-24 12:14:13","export.sh"
"Skript","2025-10-24 12:14:13","./export.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine"
"Skript","2025-10-24 12:14:13","./export.sh"
"Skript","2025-10-24 12:14:13","rapport.sh"
"Skript","2025-10-24 12:14:13","./export.sh"
"Övrigt","2025-10-24 12:14:13","README.md"
"Filsystem","2025-10-24 12:14:13","cd"
"Övrigt","2025-10-24 12:14:13","README.md"
"Skript","2025-10-24 12:14:13","rapport.sh"
"Skript","2025-10-24 12:14:13","./export.sh"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 12:14:13","find $HOME -type f -name "*.sh" | sort | uniq -d"
"Filsystem","2025-10-24 12:14:13","find $HOME -type f -name "*.sh" -exec md5sum {} + | sort | uniq -w32 -d"
"System","2025-10-24 12:14:13","sudo apt install fdupes   # Ubuntu/Debian"
"Övrigt","2025-10-24 12:14:13","fdupes -r $HOME"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/exports/rapport_*.md"
"Övrigt","2025-10-24 12:14:13","rm ~/doc_templates/exports/rapport_2025-10-11_22-57-39.html"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/rapport_*.md"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/exports/rapport_*"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","chmod +x ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","bash -x ~/doc_templates/reports/generate_metadata.sh"
"System","2025-10-24 12:14:13","sudo apt install shellcheck"
"Skript","2025-10-24 12:14:13","shellcheck ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 12:14:13","declare -A assignment_descriptions=( : "${assignment_descriptions[@]}""
"Övrigt","2025-10-24 12:14:13",": "${assignment_descriptions[@]}""
"Filsystem","2025-10-24 12:14:13","ls -lh ~/rapport_*.md"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/doc_templates/exports/rapport_*"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","bash ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 12:14:13","mkdir -p ~/screenshots"
"Övrigt","2025-10-24 12:14:13","import -window root ~/screenshots/part2.png"
"Övrigt","2025-10-24 12:14:13","nl -ba ~/doc_templates/reports/generate_metadata.sh | less"
"Övrigt","2025-10-24 12:14:13","touch file1"
"Övrigt","2025-10-24 12:14:13","cp file1 file2"
"Övrigt","2025-10-24 12:14:13","mv file2 renamed_file"
"Övrigt","2025-10-24 12:14:13","rm file1"
"Filsystem","2025-10-24 12:14:13","ls"
"Övrigt","2025-10-24 12:14:13","exit"
"Filsystem","2025-10-24 12:14:13","ls -l /etc"
"Text & Sökning","2025-10-24 12:14:13","grep "root" /etc/passwd"
"Övrigt","2025-10-24 12:14:13","exit"
"Filsystem","2025-10-24 12:14:13","pwd"
"Filsystem","2025-10-24 12:14:13","cd /"
"Filsystem","2025-10-24 12:14:13","pwd"
"Filsystem","2025-10-24 12:14:13","cd home"
"Filsystem","2025-10-24 12:14:13","pwd"
"Filsystem","2025-10-24 12:14:13","cd ~"
"Filsystem","2025-10-24 12:14:13","pwd"
"Övrigt","2025-10-24 12:14:13","exit"
"Övrigt","2025-10-24 12:14:13","mkdir dir1 dir2 dir"
"Filsystem","2025-10-24 12:14:13","ls"
"Övrigt","2025-10-24 12:14:13","rmdir dir3"
"Övrigt","2025-10-24 12:14:13","rmdir dir"
"Filsystem","2025-10-24 12:14:13","ls"
"Övrigt","2025-10-24 12:14:13","exit"
"Filsystem","2025-10-24 12:14:13","ls"
"Filsystem","2025-10-24 12:14:13","ls -1"
"Övrigt","2025-10-24 12:14:13","exit"
"Övrigt","2025-10-24 12:14:13","touch testfile"
"Filsystem","2025-10-24 12:14:13","ls -1 testfile"
"Övrigt","2025-10-24 12:14:13","chmod 744 testfile"
"Filsystem","2025-10-24 12:14:13","ls -1 testfile"
"System","2025-10-24 12:14:13","sudo chown annanuser testfile"
"Filsystem","2025-10-24 12:14:13","ls -1 testfile"
"Övrigt","2025-10-24 12:14:13","exit"
"Text & Sökning","2025-10-24 12:14:13","cat /etc/passwd"
"Text & Sökning","2025-10-24 12:14:13","head /etc/passwd"
"Text & Sökning","2025-10-24 12:14:13","tail /etc/passwd"
"Text & Sökning","2025-10-24 12:14:13","grep "bash" /etc/passwd"
"Övrigt","2025-10-24 12:14:13","exit"
"System","2025-10-24 12:14:13","sudo apt update"
"Övrigt","2025-10-24 12:14:13","su - annanuser"
"Övrigt","2025-10-24 12:14:13","exit"
"Övrigt","2025-10-24 12:14:13","cut -d: -fi /etc/passwd"
"Övrigt","2025-10-24 12:14:13","cut -d: -f1 /etc/passwd"
"Övrigt","2025-10-24 12:14:13","exit"
"System","2025-10-24 12:14:13","journalctl > system_log_report.txt"
"Skript","2025-10-24 12:14:13","bash generate_log_report.sh"
"System","2025-10-24 12:14:13","systemctl status cron"
"Övrigt","2025-10-24 12:14:13","exit"
"Övrigt","2025-10-24 12:14:13","echo $HISTFILESIZE"
"Skript","2025-10-24 12:14:13","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","chmod +x ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/rapport_metadata.sh"
"Övrigt","2025-10-24 12:14:13","history -a"
"Skript","2025-10-24 12:14:13","~/docs-engine/rapport_metadata.sh"
"Filsystem","2025-10-24 12:14:13","cd Dokument"
"Filsystem","2025-10-24 12:14:13","cd"
"Filsystem","2025-10-24 12:14:13","ls"
"Filsystem","2025-10-24 12:14:13","cd ~doc-engine"
"Filsystem","2025-10-24 12:14:13","cd /doc-engine"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","chmod +x ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","bash rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","~/docs-engine/rapport_metadata.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine"
"Skript","2025-10-24 12:14:13","bash rapport_metadata.sh"
"Övrigt","2025-10-24 12:14:13","pandoc rapport.md -o rapport.pdf --template=~/.pandoc/templates/kate-template.latex --pdf-engine=xelatex"
"Filsystem","2025-10-24 12:14:13","cd ~"
"Övrigt","2025-10-24 12:14:13","pandoc rapport.md -o rapport.pdf --template=~/.pandoc/templates/kate-template.latex --pdf-engine=xelatex"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/assets/kate-template.css"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/kate-template.latex"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine"
"Övrigt","2025-10-24 12:14:13","pandoc rapport.md   --pdf-engine=xelatex   --template=templates/kate-template.latex   --metadata-file=templates/metadata.yaml   -o exports/rapport_$(date +%F_%H-%M).pdf"
"Övrigt","2025-10-24 12:14:13","pandoc rapport.md   -c assets/kate-template.css   --standalone   --embed-resources   -o exports/rapport_$(date +%F_%H-%M).html"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/kate-template.latex"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 12:14:13","bash ~/docs-engine/export.sh"
"Övrigt","2025-10-24 12:14:13","pandoc rapport.md   -c assets/kate-template.css   --standalone   --embed-resources   -o exports/rapport_$(date +%F_%H-%M).html"
"Övrigt","2025-10-24 12:14:13","pandoc rapport.md -o rapport.pdf --template=~/.pandoc/templates/kate-template.latex --pdf-engine=xelatex"
"Skript","2025-10-24 12:14:13","bash rapport_metadata.sh"
"Filsystem","2025-10-24 12:14:13","ls ~/docs-engine/{assets,templates}"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/metadata.yaml"
"Skript","2025-10-24 12:14:13","bash export.sh"
"Övrigt","2025-10-24 12:14:13","echo -e "Subject: Linux Portfolio Submission\n\nHej! Här kommer min sammanställda dokumentationsmotor och rapport." | msmtp --attach=linux-report-engine.zip kontakt@katepetersen.se"
"Övrigt","2025-10-24 12:14:13","msmtp kontakt@katepetersen.se < ~/docs-engine/export/html/rapport_2025-10-16_15-43-19.html"
"Filsystem","2025-10-24 12:14:13","ls ~/docs-engine/comments/part18.md"
"Filsystem","2025-10-24 12:14:13","ls ~/docs-engine/logs/part18.log"
"Text & Sökning","2025-10-24 12:14:13","grep -Ei 'mkdir|touch|cd|ls|chmod|chown|rm|grep|mv|cp|export|env|at|cron|systemctl|journalctl|ping|top|htop|ps|df|du'"
"Övrigt","2025-10-24 12:14:13","mkdir -p ~/docs-engine/logs"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/logs/part18.log"
"Text & Sökning","2025-10-24 12:14:13","grep -Ei 'mkdir|touch|cd|ls|chmod|chown|rm|grep|mv|cp|export|env|at|cron|systemctl|journalctl|ping|top|htop|ps|df|du' ~/.bash_history | tail -n 50"
"Text & Sökning","2025-10-24 12:14:13","tail -n 100 ~/.bash_history"
"Skript","2025-10-24 12:14:13","chmod +x ~/docs-engine/rapport_metadata.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine"
"Skript","2025-10-24 12:14:13","./rapport_metadata.sh"
"Text & Sökning","2025-10-24 12:14:13","less rapport.md"
"Övrigt","2025-10-24 12:14:13","history | grep mkdir > ~/docs-engine/logs/part1.log"
"Skript","2025-10-24 12:14:13","bash ~/docs-engine/rapport_metadata.sh"
"Övrigt","2025-10-24 12:14:13","uname -a"
"Övrigt","2025-10-24 12:14:13","whoami"
"Övrigt","2025-10-24 12:14:13","date"
"Filsystem","2025-10-24 12:14:13","ls ~/docs-engine/comments/part{11..20}.md"
"Skript","2025-10-24 12:14:13","bash ~/docs-engine/rapport_metadata.sh"
"Övrigt","2025-10-24 12:14:13","xdg-open ~/docs-engine/export/report_*.html"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/docs-engine/reports/"
"Filsystem","2025-10-24 12:14:13","ls -t ~/docs-engine/export/*.html | head -n1"
"Övrigt","2025-10-24 12:14:13","xdg-open /home/kate/docs-engine/export/report_2025-10-17_08-49-10.html"
"Övrigt","2025-10-24 12:14:13","xdg-open "$(ls -t ~/docs-engine/export/*.html | head -n1)""
"Övrigt","2025-10-24 12:14:13","ps aux"
"Övrigt","2025-10-24 12:14:13","top"
"Övrigt","2025-10-24 12:14:13","htop"
"System","2025-10-24 12:14:13","sudo apt install htop"
"Övrigt","2025-10-24 12:14:13","htop  # kör det"
"Övrigt","2025-10-24 12:14:13","history -a  # sparar senaste sessionen till ~/.bash_history"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/report_template.html"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/style.css"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Övrigt","2025-10-24 12:14:13","./lab.sh master_parts"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Övrigt","2025-10-24 12:14:13","./lab.sh master_parts"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/part_layout.md"
"Skript","2025-10-24 12:14:13","nano ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Övrigt","2025-10-24 12:14:13","./lab.sh master_parts"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Övrigt","2025-10-24 12:14:13","./lab.sh master_parts"
"Övrigt","2025-10-24 12:14:13","nano ~/docs-engine/templates/expandable_template.html"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Skript","2025-10-24 12:14:13","./lab.sh"
"Skript","2025-10-24 12:14:13","chmod +x ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Skript","2025-10-24 12:14:13","./lab.sh"
"Övrigt","2025-10-24 12:14:13","~/docs-engine/exports/report_2025-10-19_22-45-31.html"
"Övrigt","2025-10-24 12:14:13","~/docs-engine/exports/report_2025-10-19_22-45-31.pdf"
"Skript","2025-10-24 12:14:13","chmod +x ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Skript","2025-10-24 12:14:13","./lab.sh"
"System","2025-10-24 12:14:13","sudo apt install mailutils mutt"
"Filsystem","2025-10-24 12:14:13","ls -a ~ | grep mutt && ls -a ~ | grep msmtp && ls -a ~ | grep mail"
"Text & Sökning","2025-10-24 12:14:13","cat ~/.msmtprc"
"Övrigt","2025-10-24 12:14:13","echo -e "Subject: msmtp test\n\nThis is a test email from the terminal." | msmtp kontakt@katepetersen.se"
"Övrigt","2025-10-24 12:14:13","xdg-open ~/docs-engine/exports/html/lab_report_2025-10-19_XX-XX-XX.html"
"Övrigt","2025-10-24 12:14:13","pandoc --version"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/exports"
"Övrigt","2025-10-24 12:14:13","mkdir -p html pdf"
"Övrigt","2025-10-24 12:14:13","echo "# Test Report" > test.md"
"Övrigt","2025-10-24 12:14:13","echo "This is a **Pandoc export test**." >> test.md"
"Övrigt","2025-10-24 12:14:13","pandoc test.md -o html/test_report.html"
"Övrigt","2025-10-24 12:14:13","pandoc test.md -o pdf/test_report.pdf"
"Filsystem","2025-10-24 12:14:13","ls -lh ~/docs-engine/exports/html ~/docs-engine/exports/pdf"
"Skript","2025-10-24 12:14:13","chmod +x ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 12:14:13","ls -ld ~/docs-engine/{src,exports,templates,assets,screenshot,logs}"
"Övrigt","2025-10-24 12:14:13","mkdir -p ~/docs-engine/{exports/html,exports/pdf,templates,assets/screenshot,logs}"
"Filsystem","2025-10-24 12:14:13","ls -ld ~/docs-engine/{src,exports,templates,assets,screenshot,logs}"
"Filsystem","2025-10-24 12:14:13","ls ~/docs-engine/src/master_parts.md"
"Filsystem","2025-10-24 12:14:13","cd ~/docs-engine/src"
"Skript","2025-10-24 12:14:13","./lab.sh"
"Övrigt","2025-10-24 12:14:13","xdg-open ~/docs-engine/exports/html/lab_report_2025-10-19_19-17-51.html"
"Filsystem","2025-10-24 12:14:13","ls ~/docs-engine/templates/expanding_report_template.html"
"Övrigt","2025-10-24 12:14:13","mkdir -p ~/docs-engine/templates"
"Text & Sökning","2025-10-24 12:14:13","cat << 'EOF' > ~/docs-engine/templates/expanding_report_template.html"
"Övrigt","2025-10-24 12:14:13","body {"
"Övrigt","2025-10-24 12:14:13","    font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;"
"Övrigt","2025-10-24 12:14:13","    background: #f4f7fa;"
"Övrigt","2025-10-24 12:14:13","    color: #333;"
"Övrigt","2025-10-24 12:14:13","    line-height: 1.6;"
"Övrigt","2025-10-24 12:14:13","    margin: 0;"
"Övrigt","2025-10-24 12:14:13","    padding: 20px;"
"Övrigt","2025-10-24 12:14:13","}"
"Övrigt","2025-10-24 12:14:13",".container {"
"Övrigt","2025-10-24 12:14:13","    max-width: 1100px;"
"Övrigt","2025-10-24 12:14:13","    margin: auto;"
"Övrigt","2025-10-24 12:14:13","    background: white;"
"Övrigt","2025-10-24 12:14:13","    border-radius: 10px;"
"Övrigt","2025-10-24 12:14:13","    padding: 30px;"
"Övrigt","2025-10-24 12:14:13","    box-shadow: 0 10px 30px rgba(0,0,0,0.1);"
"Övrigt","2025-10-24 12:14:13","}"
"Övrigt","2025-10-24 12:14:13","h1 {"
"Övrigt","2025-10-24 12:14:13","    text-align: center;"
"Övrigt","2025-10-24 12:14:13","    color: #2c3e50;"
"Övrigt","2025-10-24 12:14:13","    margin-bottom: 10px;"
"Övrigt","2025-10-24 12:14:13","}"
"Övrigt","2025-10-24 12:14:13","summary {"
"Övrigt","2025-10-24 12:14:13","    cursor: pointer;"
"Övrigt","2025-10-24 12:14:13","    background: #4a69bd;"
"Övrigt","2025-10-24 12:14:13","    color: white;"
"Övrigt","2025-10-24 12:14:13","    padding: 10px 15px;"
"Övrigt","2025-10-24 12:14:13","    border-radius: 8px;"
"Övrigt","2025-10-24 12:14:13","    margin-top: 10px;"
"Övrigt","2025-10-24 12:14:13","    font-weight: bold;"
"Övrigt","2025-10-24 12:14:13","}"
"Övrigt","2025-10-24 12:14:13","details {"
"Övrigt","2025-10-24 12:14:13","    margin-bottom: 15px;"
"Övrigt","2025-10-24 12:14:13","    border: 1px solid #ddd;"
"Övrigt","2025-10-24 12:14:13","    border-radius: 8px;"
"Övrigt","2025-10-24 12:14:13","    overflow: hidden;"
"Övrigt","2025-10-24 12:14:13","}"
"Övrigt","2025-10-24 12:14:13","details[open] summary {"
"Övrigt","2025-10-24 12:14:13","    background: #3c6382;"
"Övrigt","2025-10-24 12:14:13","}"
"Övrigt","2025-10-24 12:14:13",".section {"
"Övrigt","2025-10-24 12:14:13","    border: 1px solid #e0e0e0;"
"Övrigt","2025-10-24 12:14:13","    border-radius: 10px;"
